dict_keys(['gift_r', 'live_url', 'addr', 'gift_o', 'follow', 'live', 'id', 'like', 'name', 'self', 'user_url'])
dict_values(['36万\n', 'http://www.huajiao.com/l/197031530', '上海 黄浦', '61827\n', '8833\n', '24', '花椒号：72536290', '13200万\n', '般若慧照', '18', 'http://www.huajiao.com/user/72536290'])
dict_values(['76102\n', 'http://www.huajiao.com/l/197049649', '黑龙江 哈尔滨', '849\n', '573\n', '9', '花椒号：112455391', '516万\n', '原来是小鹤一呀！', '3', 'http://www.huajiao.com/user/112455391'])
dict_values(['29万\n', 'http://www.huajiao.com/l/197037856', '江西省 九江市', '20316\n', '57236\n', '21', '花椒号：139292955', '1662万\n', 'Lucy🐔蛋蛋', '17', 'http://www.huajiao.com/user/139292955'])
dict_values(['25万\n', 'http://www.huajiao.com/l/197051418', '上海市 普陀区', '4316\n', '1142\n', '14', '花椒号：150718984', '1143万\n', '狗蛋😄😄😄😄😄😄', '11', 'http://www.huajiao.com/user/150718984'])
dict_values(['34万\n', 'http://www.huajiao.com/l/197051890', '四川 成都', '2224\n', '10757\n', '14', '花椒号：119016159', '2097万\n', '人鱼公主陶贤惠', '16', 'http://www.huajiao.com/user/119016159'])
dict_values(['158万\n', 'http://www.huajiao.com/l/197043361', '上海 静安', '8791\n', '29155\n', '18', '花椒号：90280958', '1956万\n', '性感热舞小果果👑', '18', 'http://www.huajiao.com/user/90280958'])
dict_values(['134万\n', 'http://www.huajiao.com/l/197034507', '广州 白云', '10448\n', '12万\n', '18', '花椒号：129824834', '5308万\n', '🍥🍥一只小茉莉呀🌸', '15', 'http://www.huajiao.com/user/129824834'])
dict_values(['7109\n', 'http://www.huajiao.com/l/197057719', '河南省 郑州市', '265\n', '180\n', '7', '花椒号：34286405', '12万\n', '甜歌@可欣', '2', 'http://www.huajiao.com/user/34286405'])
dict_values(['549万\n', 'http://www.huajiao.com/l/197047138', '辽宁 辽阳', '22935\n', '14436\n', '22', '花椒号：52071733', '2737万\n', None, '19', 'http://www.huajiao.com/user/52071733'])
dict_values(['55万\n', 'http://www.huajiao.com/l/197043283', '吉林 长春', '3311\n', '1015\n', '13', '花椒号：56459780', '254万\n', '小y仙女', '16', 'http://www.huajiao.com/user/56459780'])
dict_values(['32693\n', 'http://www.huajiao.com/l/197035915', '辽宁 葫芦岛', '427\n', '814\n', '10', '花椒号：131060329', '1242万\n', '弹唱女歌手🎸⚽童年时光🎂', '9', 'http://www.huajiao.com/user/131060329'])
dict_values(['6601\n', 'http://www.huajiao.com/l/197048659', '北京市 朝阳区', '0\n', '419\n', '5', '花椒号：99806433', '20万\n', 'NovemBox', '颜值', 'http://www.huajiao.com/user/99806433'])
dict_values(['24492\n', 'http://www.huajiao.com/l/197045267', '北京 通州', '10930\n', '634\n', '16', '花椒号：146728744', '63万\n', '💎都市小可乐', '10', 'http://www.huajiao.com/user/146728744'])
dict_values(['8593\n', 'http://www.huajiao.com/l/197051459', '河南 郑州', '1009\n', '351\n', '9', '花椒号：141460336', '108万\n', '叮叮当girl', '7', 'http://www.huajiao.com/user/141460336'])
dict_values(['8364\n', 'http://www.huajiao.com/l/197047998', '辽宁 大连', '453\n', '455\n', '8', '花椒号：143360200', '78万\n', '﹊ゞ雅薇。', '3', 'http://www.huajiao.com/user/143360200'])
dict_values(['9708\n', 'http://www.huajiao.com/l/197051535', '未知星球', '2396\n', '525\n', '12', '花椒号：145103185', '49万\n', '不是鳌拜的敖', '7', 'http://www.huajiao.com/user/145103185'])
dict_values(['13485\n', 'http://www.huajiao.com/l/197051143', '辽宁 沈阳', '0\n', '531\n', '6', '花椒号：52803013', '235万\n', '主持人乔维', '颜值', 'http://www.huajiao.com/user/52803013'])
dict_values(['25280\n', 'http://www.huajiao.com/l/197042270', '河南省 郑州市', '236\n', '774\n', '8', '花椒号：152040825', '275万\n', '文软软♡', '7', 'http://www.huajiao.com/user/152040825'])
dict_values(['15334\n', 'http://www.huajiao.com/l/197052622', '北京 东城', '345\n', '649\n', '8', '花椒号：149134282', '82万\n', '伊赟舞蹈演员', '3', 'http://www.huajiao.com/user/149134282'])
dict_values(['6580\n', 'http://www.huajiao.com/l/197054719', '黑龙江 哈尔滨', '57\n', '280\n', '5', '花椒号：152300151', '133万\n', '💃💃颂乐', '跳舞', 'http://www.huajiao.com/user/152300151'])
dict_values(['56964\n', 'http://www.huajiao.com/l/197032223', '江苏 南京', '623\n', '955\n', '11', '花椒号：119049140', '346万\n', '我是杨乖乖', '8', 'http://www.huajiao.com/user/119049140'])
dict_values(['13万\n', 'http://www.huajiao.com/l/197050825', '海南省 海口市', '316\n', '568\n', '7', '花椒号：148993064', '217万\n', '音乐人🎤张碧茜', '4', 'http://www.huajiao.com/user/148993064'])
dict_values(['14万\n', 'http://www.huajiao.com/l/197055221', '广西壮族自治区 柳州市', '746\n', '959\n', '9', '花椒号：146074995', '632万\n', '鱿鱼英子🏝', '7', 'http://www.huajiao.com/user/146074995'])
dict_values(['13万\n', 'http://www.huajiao.com/l/197051175', '辽宁省 沈阳市', '711\n', '818\n', '10', '花椒号：134663558', '462万\n', '歌者__鬼鬼💃🏻💃🏻🎤🎤', '9', 'http://www.huajiao.com/user/134663558'])
dict_values(['77817\n', 'http://www.huajiao.com/l/197052057', '江苏省 南京市', '376\n', '488\n', '9', '花椒号：152309091', '1135万\n', None, '5', 'http://www.huajiao.com/user/152309091'])
dict_values(['79322\n', 'http://www.huajiao.com/l/197047626', '上海 宝山', '2410\n', '997\n', '13', '花椒号：130360527', '442万\n', '颜未央💋', '13', 'http://www.huajiao.com/user/130360527'])
dict_values(['69076\n', 'http://www.huajiao.com/l/197053630', '广东 深圳', '2765\n', '310\n', '11', '花椒号：136530703', '34万\n', '小慢_🐈', '3', 'http://www.huajiao.com/user/136530703'])
dict_values(['13万\n', 'http://www.huajiao.com/l/197049019', '贵州 安顺', '357\n', '633\n', '9', '花椒号：149455269', '164万\n', '薄荷朱莉.', '7', 'http://www.huajiao.com/user/149455269'])
dict_values(['4454\n', 'http://www.huajiao.com/l/197056776', '江苏省 无锡市', '0\n', '104\n', '1', '花椒号：103289124', '63万\n', '新人十二前来报道', '颜值', 'http://www.huajiao.com/user/103289124'])
dict_values(['10万\n', 'http://www.huajiao.com/l/197049465', '福建 福州', '980\n', '521\n', '8', '花椒号：51752692', '109万\n', '福州高圆圆', '6', 'http://www.huajiao.com/user/51752692'])
dict_values(['4454\n', 'http://www.huajiao.com/l/197056776', '江苏省 无锡市', '0\n', '104\n', '1', '花椒号：103289124', '63万\n', '新人十二前来报道', '颜值', 'http://www.huajiao.com/user/103289124'])
dict_values(['66980\n', 'http://www.huajiao.com/l/197045506', '未知星球', '2140\n', '933\n', '13', '花椒号：112571145', '29万\n', '美大圣...', '10', 'http://www.huajiao.com/user/112571145'])
dict_values(['15912\n', 'http://www.huajiao.com/l/197053779', '未知星球', '0\n', '479\n', '5', '花椒号：150039157', '55773\n', '子凌吖', '唱歌', 'http://www.huajiao.com/user/150039157'])
dict_values(['46283\n', 'http://www.huajiao.com/l/197050854', '河北省 唐山市', '1380\n', '614\n', '11', '花椒号：92982241', '75万\n', 'A. 我是大琪琪呀🎈', '8', 'http://www.huajiao.com/user/92982241'])
