dict_keys(['user_url', 'follow', 'id', 'self', 'addr', 'gift_o', 'gift_r', 'live_url', 'like', 'live', 'name'])
dict_values(['http://www.huajiao.com/user/119016159', '10765\n', '花椒号：119016159', '16', '四川 成都', '2224\n', '34万\n', 'http://www.huajiao.com/l/197051890', '2100万\n', '14', '人鱼公主陶贤惠'])
dict_values(['http://www.huajiao.com/user/149567469', '6462\n', '花椒号：149567469', '14', '江苏 南通', '9565\n', '29万\n', 'http://www.huajiao.com/l/197039976', '19039万\n', '16', '🃏王大腿💜保护我方阿薇💕'])
dict_values(['http://www.huajiao.com/user/112697530', '3140\n', '花椒号：112697530', '16', '广西 玉林', '170\n', '73629\n', 'http://www.huajiao.com/l/197047529', '7767万\n', '13', '一浪少数民族奇遇记'])
dict_values(['http://www.huajiao.com/user/141863913', '12816\n', '花椒号：141863913', '22', '辽宁省 沈阳市', '6466\n', '54万\n', 'http://www.huajiao.com/l/197056173', '2844万\n', '15', None])
dict_values(['http://www.huajiao.com/user/27232087', '52270\n', '花椒号：27232087', '18', '未知星球', '6315\n', '104万\n', 'http://www.huajiao.com/l/197044000', '2836万\n', '16', '关注靖老师呀1月26生日'])
dict_values(['http://www.huajiao.com/user/148993064', '575\n', '花椒号：148993064', '4', '海南省 海口市', '316\n', '13万\n', 'http://www.huajiao.com/l/197050825', '218万\n', '7', '音乐人🎤张碧茜'])
dict_values(['http://www.huajiao.com/user/138160957', '1880\n', '花椒号：138160957', '13', '吉林 白山', '5851\n', '32507\n', 'http://www.huajiao.com/l/197032796', '3378万\n', '16', '长白山👀东子'])
dict_values(['http://www.huajiao.com/user/135124542', '1294\n', '花椒号：135124542', '16', '安徽 合肥', '3029\n', '125万\n', 'http://www.huajiao.com/l/197042068', '320万\n', '14', '因为我叫王朵朵☀'])
dict_values(['http://www.huajiao.com/user/150613403', '604\n', '花椒号：150613403', '颜值', '福建 厦门', '0\n', '4396\n', 'http://www.huajiao.com/l/197059527', '15万\n', '5', None])
dict_values(['http://www.huajiao.com/user/56459780', '1017\n', '花椒号：56459780', '16', '吉林 长春', '3311\n', '55万\n', 'http://www.huajiao.com/l/197043283', '272万\n', '13', '小y仙女'])
dict_values(['http://www.huajiao.com/user/134663558', '824\n', '花椒号：134663558', '9', '辽宁省 沈阳市', '711\n', '14万\n', 'http://www.huajiao.com/l/197051175', '463万\n', '10', '歌者__鬼鬼💃🏻💃🏻🎤🎤'])
dict_values(['http://www.huajiao.com/user/103289124', '111\n', '花椒号：103289124', '颜值', '江苏省 无锡市', '0\n', '4688\n', 'http://www.huajiao.com/l/197056776', '64万\n', '1', '新人十二前来报道'])
dict_values(['http://www.huajiao.com/user/131060329', '817\n', '花椒号：131060329', '9', '辽宁 葫芦岛', '427\n', '32804\n', 'http://www.huajiao.com/l/197035915', '1264万\n', '10', '弹唱女歌手🎸⚽童年时光🎂'])
dict_values(['http://www.huajiao.com/user/99806433', '420\n', '花椒号：99806433', '颜值', '北京市 朝阳区', '0\n', '6601\n', 'http://www.huajiao.com/l/197048659', '27万\n', '5', 'NovemBox'])
dict_values(['http://www.huajiao.com/user/146728744', '635\n', '花椒号：146728744', '10', '北京 通州', '10930\n', '24492\n', 'http://www.huajiao.com/l/197045267', '70万\n', '16', '💎都市小可乐'])
dict_values(['http://www.huajiao.com/user/141460336', '353\n', '花椒号：141460336', '7', '河南 郑州', '1009\n', '8617\n', 'http://www.huajiao.com/l/197051459', '114万\n', '9', '叮叮当girl'])
dict_values(['http://www.huajiao.com/user/143360200', '455\n', '花椒号：143360200', '3', '辽宁 大连', '453\n', '8364\n', 'http://www.huajiao.com/l/197047998', '85万\n', '8', '﹊ゞ雅薇。'])
dict_values(['http://www.huajiao.com/user/145103185', '525\n', '花椒号：145103185', '7', '未知星球', '2396\n', '9708\n', 'http://www.huajiao.com/l/197051535', '55万\n', '12', '不是鳌拜的敖'])
dict_values(['http://www.huajiao.com/user/52803013', '531\n', '花椒号：52803013', '颜值', '辽宁 沈阳', '0\n', '13595\n', 'http://www.huajiao.com/l/197051143', '241万\n', '6', '主持人乔维'])
dict_values(['http://www.huajiao.com/user/152040825', '775\n', '花椒号：152040825', '7', '河南省 郑州市', '236\n', '25292\n', 'http://www.huajiao.com/l/197042270', '281万\n', '8', '文软软♡'])
dict_values(['http://www.huajiao.com/user/149134282', '653\n', '花椒号：149134282', '3', '北京 东城', '345\n', '15862\n', 'http://www.huajiao.com/l/197052622', '85万\n', '8', '伊赟舞蹈演员'])
dict_values(['http://www.huajiao.com/user/148993064', '575\n', '花椒号：148993064', '4', '海南省 海口市', '316\n', '13万\n', 'http://www.huajiao.com/l/197050825', '218万\n', '7', '音乐人🎤张碧茜'])
dict_values(['http://www.huajiao.com/user/112455391', '575\n', '花椒号：112455391', '3', '黑龙江 哈尔滨', '849\n', '80056\n', 'http://www.huajiao.com/l/197049649', '533万\n', '9', '原来是小鹤一呀！'])
dict_values(['http://www.huajiao.com/user/152300151', '286\n', '花椒号：152300151', '跳舞', '黑龙江 哈尔滨', '57\n', '6605\n', 'http://www.huajiao.com/l/197054719', '135万\n', '5', '💃💃颂乐'])
dict_values(['http://www.huajiao.com/user/150613403', '604\n', '花椒号：150613403', '颜值', '福建 厦门', '0\n', '4396\n', 'http://www.huajiao.com/l/197059527', '15万\n', '5', None])
dict_values(['http://www.huajiao.com/user/119049140', '956\n', '花椒号：119049140', '8', '江苏 南京', '623\n', '57378\n', 'http://www.huajiao.com/l/197032223', '348万\n', '11', '我是杨乖乖'])
dict_values(['http://www.huajiao.com/user/146074995', '960\n', '花椒号：146074995', '7', '广西壮族自治区 柳州市', '746\n', '14万\n', 'http://www.huajiao.com/l/197055221', '633万\n', '9', '鱿鱼英子🏝'])
dict_values(['http://www.huajiao.com/user/140478667', '324\n', '花椒号：140478667', '脱口秀', '福建省 福州市', '0\n', '818\n', 'http://www.huajiao.com/l/197060293', '614万\n', '4', '你好旅朋友'])
dict_values(['http://www.huajiao.com/user/34286405', '183\n', '花椒号：34286405', '2', '河南省 郑州市', '265\n', '7114\n', 'http://www.huajiao.com/l/197057719', '14万\n', '7', '甜歌@可欣'])
dict_values(['http://www.huajiao.com/user/152309091', '491\n', '花椒号：152309091', '5', '江苏省 南京市', '376\n', '77856\n', 'http://www.huajiao.com/l/197052057', '1136万\n', '9', None])
dict_values(['http://www.huajiao.com/user/130360527', '998\n', '花椒号：130360527', '13', '上海 宝山', '2410\n', '79322\n', 'http://www.huajiao.com/l/197047626', '443万\n', '13', '颜未央💋'])
dict_values(['http://www.huajiao.com/user/136530703', '315\n', '花椒号：136530703', '3', '广东 深圳', '2765\n', '69080\n', 'http://www.huajiao.com/l/197053630', '34万\n', '11', '小慢_🐈'])
dict_values(['http://www.huajiao.com/user/149455269', '633\n', '花椒号：149455269', '7', '贵州 安顺', '357\n', '13万\n', 'http://www.huajiao.com/l/197049019', '164万\n', '9', '薄荷朱莉.'])
dict_values(['http://www.huajiao.com/user/51752692', '521\n', '花椒号：51752692', '6', '福建 福州', '980\n', '10万\n', 'http://www.huajiao.com/l/197049465', '109万\n', '8', '福州高圆圆'])
dict_values(['http://www.huajiao.com/user/112571145', '933\n', '花椒号：112571145', '10', '未知星球', '2140\n', '66980\n', 'http://www.huajiao.com/l/197045506', '29万\n', '13', '美大圣...'])
dict_values(['http://www.huajiao.com/user/152388624', '478\n', '花椒号：152388624', '8', '黑龙江 鸡西', '167\n', '10572\n', 'http://www.huajiao.com/l/197045371', '42万\n', '9', '大漂亮\ue347'])
dict_values(['http://www.huajiao.com/user/92982241', '615\n', '花椒号：92982241', '8', '河北省 唐山市', '1380\n', '46313\n', 'http://www.huajiao.com/l/197050854', '75万\n', '11', 'A. 我是大琪琪呀🎈'])
dict_values(['http://www.huajiao.com/user/82383395', '524\n', '花椒号：82383395', '6', '湖南 长沙', '217\n', '17591\n', 'http://www.huajiao.com/l/197027195', '19万\n', '9', '安容♥︎以沫'])
dict_values(['http://www.huajiao.com/user/151601297', '581\n', '花椒号：151601297', '颜值', '广东 广州', '0\n', '67444\n', 'http://www.huajiao.com/l/197049975', '94万\n', '5', '💕萌萌哒小瑜儿💕'])
dict_values(['http://www.huajiao.com/user/152433942', '484\n', '花椒号：152433942', '颜值', '山东省 济南市', '0\n', '34503\n', 'http://www.huajiao.com/l/197060292', '173万\n', '4', '小楠Zoe'])
dict_values(['http://www.huajiao.com/user/150039157', '479\n', '花椒号：150039157', '唱歌', '未知星球', '0\n', '15913\n', 'http://www.huajiao.com/l/197053779', '55880\n', '5', '子凌吖'])
dict_values(['http://www.huajiao.com/user/82675823', '586\n', '花椒号：82675823', '11', '北京 朝阳', '2345\n', '96512\n', 'http://www.huajiao.com/l/197058227', '135万\n', '12', '🎀 楠玉'])
dict_values(['http://www.huajiao.com/user/134641641', '984\n', '花椒号：134641641', '13', '未知星球', '4373\n', '55万\n', 'http://www.huajiao.com/l/197034373', '28万\n', '14', '💗桃子酱💗'])
dict_values(['http://www.huajiao.com/user/73392173', '265\n', '花椒号：73392173', '4', '四川省 成都市', '1279\n', '4015\n', 'http://www.huajiao.com/l/197047389', '18491\n', '11', '糖📎唐🔎'])
dict_values(['http://www.huajiao.com/user/150811866', '464\n', '花椒号：150811866', '4', '浙江 杭州', '95\n', '40586\n', 'http://www.huajiao.com/l/197054763', '117万\n', '9', '熹止'])
dict_values(['http://www.huajiao.com/user/76454710', '612\n', '花椒号：76454710', '9', '辽宁 沈阳', '14073\n', '19万\n', 'http://www.huajiao.com/l/197059254', '62449\n', '20', '🌴差不多小姐🌴..'])
dict_values(['http://www.huajiao.com/user/148548884', '652\n', '花椒号：148548884', '8', '辽宁 本溪', '805\n', '50013\n', 'http://www.huajiao.com/l/197044324', '128万\n', '11', '🌸晨曦_ε'])
dict_values(['http://www.huajiao.com/user/122146791', '992\n', '花椒号：122146791', '12', '江苏省 淮安市', '3405\n', '10万\n', 'http://www.huajiao.com/l/197050777', '37万\n', '18', 'Andy🍒.'])
dict_values(['http://www.huajiao.com/user/151466373', '384\n', '花椒号：151466373', '2', '吉林省 长春市', '320\n', '28489\n', 'http://www.huajiao.com/l/197054847', '71209\n', '8', '涵涵cc'])
